Index,Income,LawnSize,Decision
1,60,18.4,Owner
2,75,19.6,Nonowner
3,85.5,16.8,Owner
4,52.8,20.8,Nonowner
5,64.8,21.6,Owner
6,64.8,17.2,Nonowner
7,61.5,20.8,Owner
8,43.2,20.4,Nonowner
9,87,23.6,Owner
10,84,17.6,Nonowner
11,110.1,19.2,Owner
12,49.2,17.6,Nonowner
13,108,17.6,Owner
14,74.4,20.4, Nonowner
15,82.8,22.4,Owner
16,66,18.4,Nonowner
17,69,20,Owner
18,47.4,16.4,Nonowner
19,93,20.8,Owner
20,33,18.8,Nonowner
21,51,22,Owner
22,51,14,Nonowner
23,81,20,Owner
24,63,14.8,Nonowner